JANE W.,5.0 star rating,12/20/21, A New Lease On Life ," I am in my early 60s, and since I started making Athletic Greens my go to breakfast of choice first thing every morning on an empty stomach, my digestion, sleep quality and energy levels have improved enormously. My goal is to stay physically fit and mentally intact for as long as possible, and Athletic Greens is proving to be instrumental in help...Read MoreRead more about review stating A New Lease On Lifeing me to achieve that goal. Thank You! Read LessRead less about review stating A New Lease On Life"
Krista C.,5.0 star rating,12/20/21, Energy normal bowl movement , Love it. 
Sean T.,5.0 star rating,12/20/21, Best stuff on the market , Best stuff on the market 
Lauren C.,5.0 star rating,12/20/21, Awesome Product ," My energy levels are consistent through the day, rarely is there a day that I have a need to take an afternoon nap 😴 "
Domingo S.,5.0 star rating,12/20/21, Excellent product. Raises energy level , Excellent product. Raises energy level 
Jonathan P.,5.0 star rating,12/20/21, Its a hard YES ," With AG1 i need 50% or less of the coffee I was drinking before. I legit go days without drinking any coffee. My guts are happier than ever.  This is a great product. I can't even fully explain everything I love about it, it just makes me feel hella good. "
justin L.,5.0 star rating,12/20/21, Athletic Greens are my one stop shop! , I start everyday with my serving of Athletic Greens. AG fills the nutritional and supplemental gaps in my diet. 
Kolette H.,5.0 star rating,12/20/21, Love This! Makes Healthy Easy , Actually has cut in half the supplements I have to talk. 
Justin W.,4.0 star rating,12/20/21, Bing Bing ," It’s good. It’s more expensive than a lot of competitors. This is the first time I’ve used a green powder consistently for a month and I enjoyed it, but I’m also checking out the competition, so I’m not sold. I think the ingredient list could still be improved(ex. wheatgrass to seaweed), but it has been enjoyable, and has a nice taste "
john B.,5.0 star rating,12/20/21, Love the product and notice difference in my body feeling better ," Once something becomes routine you can quickly forget how well it has worked. I feel better with Athletic greens. It does not overcome poor eating, darn, but I feel better and start off everyday with the Greens and water. I recommend anyone who is slightly eating heathy to add this to their diet and you will love the results. "
Rebecca W.,5.0 star rating,12/20/21, Awesome , The perfect start to my day. Tastes great and brings a great element to my mourning routine that I didn’t know I needed. 
Scott T.,4.0 star rating,12/20/21, 👍 , 👍 
Kim J.,5.0 star rating,12/20/21, VItamins plus customer service ," My family has been using another powdered vitamin but they all complain about drinking it. When we heard about AG1 on Huberman Lab I decided to try it. It was so good, less gas and tasted great that I decided to order for my adult kids too. When it didn't arrive Michael followed up and we are happily drinking our greens once again! Great vitam...Read MoreRead more about review stating VItamins plus customer serviceins, fabulous taste and really nice people to work with! Read LessRead less about review stating VItamins plus customer service"
Liz B.,1.0 star rating,12/20/21, Flavor could be better , I did not like the tastes! 
Harriet T.,5.0 star rating,12/20/21, AG , So happy Andrew Huberman recommended AG. I can use it anytime of day but love it mid morning for a boost between meals. Great clarity on ingredients and quality. Also love that I received a canister to refill with just a bag of product being sent on reorders to reduce waste. 
Michael R.,5.0 star rating,12/20/21, Great product , Love the product and results. It is a bit expensive 
Lauren G.,5.0 star rating,12/20/21, I love them but cannot afford them! ," Tried them for a month, love them but the price is unsustainable for me. Thank you! "
Michelle H.,5.0 star rating,12/20/21, Love love love it! , Love love love it! 
Maryann J.,5.0 star rating,12/20/21, Awesome , I’ve been using AG for years and can feel the full benefits of a superior multi vitamin. I’ll never go back to store bought. 
Brenda L.,5.0 star rating,12/20/21, A daily must have!!!! , I drink my AG first thing every morning. The best way to start my day. The quality is amazing. Tastes great. Energizes me. Helps so much with bloating. Just an overall great balance for your gut. It’s like a hug….. for your GI system! Lifetime customer here! 
Stryker L.,5.0 star rating,12/20/21, All around solid supplement ," AG is a great addition to my daily eating - tastes great and feels good to know that whether or not I eat enough veggies, AG had me covered. "
Eshwar K.,1.0 star rating,12/20/21, Don’t like the new taste , I really liked it before you changed the taste and packaging. New one does not dissolve in water like the old one. 
HEATHER M.,4.0 star rating,12/20/21, Mostly satisfied ," I’ve been using AG for a couple of months now. I like the feeling I get of starting each day off with a healthy drink. One good choice can lead to another, right? My only complaint is the sweetener that is added. I wish there was an unsweetened product to choose. The sweetener tastes like bubblegum which I really dislike. It can be mostly disguise...Read MoreRead more about review stating Mostly satisfiedd by putting it in a smoothie but if you are drinking it with just water, the bubblegum taste is overwhelming. I have to chug the entire cup to avoid the taste. It doesn’t completely dissolve when shaken but that may be because I’m impatient and drink it without waiting. I’ll continue to use it with the hope that there will be an alternative flavor choice at some point. Read LessRead less about review stating Mostly satisfied"
Traci T.,5.0 star rating,12/20/21, Absolutely recognized the difference once , Absolutely recognized the difference once I began AG. One obvious change is the energy I experience...one cup of coffee is more than enough following the AG... 
Troy T.,4.0 star rating,12/20/21, Athletic Greens , Great tasting drink. 
Britainy B.,5.0 star rating,12/19/21, Love this stuff , I love this stuff. It gives me energy and my skin is sooo soft 
Elizabeth B.,5.0 star rating,12/18/21, Energy booster , I love waking up and knowing I’m nourishing my body first thing in the morning. I feel even more energised and great thanks to this product. 
Breianna R.,5.0 star rating,12/18/21, Absolutely the best and easiest , Absolutely the best and easiest way to get your daily vitamins and the consistency has changed my way of eating and living. Thank youu for making it so easy 
Alexis D.,5.0 star rating,12/18/21, Awesome stufff! , Awesome stufff! 
Lisa W.,4.0 star rating,12/18/21, Don't Really Notice a Difference ," I like the taste and getting my vitamins this way, but I don't really notice a difference from taking this product. "
Eva M.,5.0 star rating,12/18/21, Great drink for vitality and energy! , I drink AG every day and I feel full of energy. 
Leticia C.,5.0 star rating,12/18/21, I love the energy I , I love the energy I get since I’ve started! 
Anne S.,5.0 star rating,12/18/21, Love my AG , I started taking AG when I realized that it included a lot of my supplements that I already took and I wouldn't need to take so many pills. Now I am hooked. My diet isn't the greatest so I feel I am getting more with taking AG. I feel great and seem to have more energy. 
Carlos M.,5.0 star rating,12/18/21, Great product ," Product is really good, but it is pricey. It was less for my start up package than my monthly bag of AG1. I'm not sure paying $100 per month is sustainable. "
Isabella Y.,5.0 star rating,12/18/21, A great way to start , A great way to start the day and get your body moving! 
Kevin T.,3.0 star rating,12/18/21, I like the concept specially ," I like the concept specially when I am working from home office but I travel with my job and the travel pack design is the best. Last thing I would say is again the concept is great, all in one not taking a handful of pills through out the day etc, but it is on the high side of cost. "
Cindy C.,4.0 star rating,12/18/21, It have more energy throughout , It have more energy throughout the day. 
Elizabeth M.,5.0 star rating,12/18/21, Enjoying and recruited a friend , Really enjoying my AG’s. The taste is sweet and delicious and it gives me a nice level energy level throughout the day. Gave my travel pack to a friend and he’s now hooked too. 
Lee P.,5.0 star rating,12/18/21, Found my greens! , Very happy with the quality of AG. I have had a year is stomach issues and tried a variety of morning powders. AG is fantastic!  With the AG1 pouch I now can travel without the hassle of pouring into a another bag.  So easy to keep me going...on the go! 
Leah C.,3.0 star rating,12/18/21, Good but pricey , I really loved the idea of being able to get all my nutrients and a good bunch of greens in one scoop. I liked the flavor and that fact that it mixes so easily and isn’t gritty like some other greens on the market. I just can’t get past the price. Spending over 100/ month on any supplement just doesn’t make sense. I’d much rather focus on eating a...Read MoreRead more about review stating Good but pricey fruit and veggie rich diet. Read LessRead less about review stating Good but pricey
Cindy G.,4.0 star rating,12/18/21, Great product , Quality product and service but pricey. 
Thomas C.,5.0 star rating,12/18/21, Excellent breakfast supplement ," Love drinking cold first thing in the morning before breakfast, knowing that I've got my daily recommended fruit and vegetable supply! "
Jessica M.,5.0 star rating,12/18/21, Athletic greens , I am amazed as to how it tasted. I expected it to taste awful. It didn’t. I incorporated it into my morning routine. I am also happy it covers so many vitamins and supplements. In one tasty drink! 
Jane M.,5.0 star rating,12/18/21, The longer I use my , The longer I use my AG1 the more I love it! I drink it every morning and it keeps me energized and satisfied for 3-4 hours. I’m 57 years old and it’s by far the BEST nutritional green drink! 
Michael F.,5.0 star rating,12/18/21, Use it everyday , Use it everyday 
Julian R.,5.0 star rating,12/18/21, I could always tell a ," I could always tell a difference when I would miss a day here or there. No longer do I, highly recommend if you’re considering. "
Eileen C.,3.0 star rating,12/18/21, Only Problem with AG , I like it a lot but I am not sure how long I can afford it. So the problem~the price 
Megumi H.,3.0 star rating,12/18/21, Couldn’t see any change ," We have tried couple months, but didn’t see any change or improvement. Wanted try little longer but our budget were tight at this moment… "
Andrew H.,3.0 star rating,12/18/21, Solid product but expensive , There are so many options on the market for really high-quality ingredients these days. I can definitely afford this but I really do feel like it is too expensive and it feels just to exclusive somehow. Good nutrition should be basic and fundamental for all people. 
Bill t.,3.0 star rating,12/18/21, Tough ," It's just tough to get it down. It isn't the worst thing I've ever tasted, but I definitely recommend blending with fruit, or frozen yogurt & peanut butter, etc. That being said, I'm sure it has GREAT ingredients, & is healthy!! "
Roger D.,4.0 star rating,12/17/21, Athletic Greens , Quality Product and Company. It is pricey. Worth it for your health. 
Christy C.,5.0 star rating,12/17/21, Athletic Greens , Are you kidding me? I have never felt so good. And that it doesn't taste bad is an extra perk. I advertise it everyday on Instagram as part of my morning routine. I absolutely love it!! 
michall w.,4.0 star rating,12/17/21, First time user. Not really sure. , I have been using this now as directed for the last 6 weeks. The product comes in a nice package seems like quality stuff. However I can't tell any difference in my health or performance. Don't feel it is worth the nearly $100 a month.... 
Bryan M.,3.0 star rating,12/17/21," It doesn't taste very good, "," It doesn't taste very good, but it's not completely undrinkable either. Still I do feel alot better when I drink it so it's worth. "
Emily P.,5.0 star rating,12/17/21, Best Greens ," Absolutely love AG1. I take it first thing in the morning, before coffee and breakfast. Gives me a boost all day long. Highly recommend it. "
Pam H.,5.0 star rating,12/17/21, Love this stuff … ," At age 63 was a little skeptical, it seemed most were much younger then myself But thing changed after my first blood work after being on AG for a few months. Now that being said this is strictly my experience "
Linda S.,3.0 star rating,12/17/21, Taste ," I love the nutritional content of the product but the taste is not for me. They need a more neutral flavor, then I would be on board. "
Karen S.,5.0 star rating,12/17/21, Favorite vitamins , This has quickly become my favorite way to get these nutrients. This daily go to is easy to consume and tastes pretty good. 
Marc D.,5.0 star rating,12/17/21, AG , Been taking AG's for over a month now and it easy to drink but too soon to tell the real difference from the pervious health morning drink I was taking for years...time will tell and thanks 
RAJEEV K.,5.0 star rating,12/17/21, Fuels me up everyday with the right mix of nature ," I used to have AG as a supplement in the morning for a few years and stopped, and almost quicky noticed how much I was missing out on the extra spunk I used to get from it. Needless to say, I started drinking it again and all is well, vibrant and energetic. "
Todd C.,3.0 star rating,12/17/21, Great taste no real benefits , Tastes great however I was expecting a bigger boost in energy which didn’t come. I feel like my multivitamin with B12 is more effective for me. 
Margo B.,5.0 star rating,12/17/21, I love how AG makes , I love how AG makes me feel. The shipping is way too much 
Brett R.,5.0 star rating,12/17/21, Game changer ," My wife and I both feel so much better taking athletic greens. We recently went on vacation and forgot our travel packs, it was horrible. "
Mark S.,5.0 star rating,12/17/21, Very good , Very good 
Scott S.,4.0 star rating,12/17/21, Love AG but wishing for better travel packs ," Huge fan of AG! Whenever I travel, I always bring the individual travel packs with me. Unfortunately the design of the pack makes it near impossible to not spill. It would be awesome to have a better design that allows for easy pour into a water bottle or other container while on the go. "
Jovi S.,5.0 star rating,12/17/21, Great way to start my , Great way to start my morning 
Emily H.,4.0 star rating,12/17/21, Delicious and nutritious but a , Delicious and nutritious but a bit overpriced is the only reason I am considering canceling 
Janet J.,3.0 star rating,12/17/21, I don’t really like it. , I don’t really like it. I know it’s good for me so I’m choking it down a few times a week. I’m not taking it everyday. I don’t want to give up my coffee as soon as I wake up. I’ve settled into taking it after I go to the gym (x3 weekly). That is what’s been working for me. I haven’t felt any benefits …….maybe because I’m not taking it everyday or ...Read MoreRead more about review stating I don’t really like it.because I eat a fairly good whole food diet already. I’m going to continue to receive my AG 1 order every second month for now. That interval may go down thought if I don’t consume my pouch before the next order comes. Read LessRead less about review stating I don’t really like it.
Norman J.,5.0 star rating,12/17/21, Thank you! , Thanks for looking out for me when my package never showed (or was stolen) 
Jen K.,5.0 star rating,12/17/21, Eat healthy habit ," Tastes great, easy healthy habit to maintain. I often recommend to others! "
John M.,5.0 star rating,12/17/21, ENERGY!! , Great way to start my day. Noticeably different energy level. Starting your day with a great habit helps lead to other great habits. 
Cheri D.,4.0 star rating,12/17/21, So far so good , Not sure if I can tell a difference yet. Product does taste good and easy to drink. 
Tara M.,5.0 star rating,12/17/21, Love it!! , Love it!! 
Christopher J.,5.0 star rating,12/17/21, Great breakfast alternative , Great breakfast alternative 
Mark M.,4.0 star rating,12/17/21, Best tasting product of its kind. , Great taste but the super fine powder can get messy at times. 
Patrick R.,5.0 star rating,12/17/21, I've never felt better , I'm halfway through my second month using AG1 And I've noticed a huge difference in my energy levels and just overall mood! I've recommended it to so many friends and colleagues. 
Peter S.,5.0 star rating,12/17/21, Best ever stuff , I know there’s all sorts of good things in the powder. All I know is I feel great eating it.   More. Please. 
Walter P.,4.0 star rating,12/17/21," Noticed elevated, sustained energy level, "," Noticed elevated, sustained energy level, and a heighten feeling of well being. Take care. "
Jessica R.,5.0 star rating,12/16/21, Love it! , Athletic Greens has changed my life! 
Laurie C.,5.0 star rating,12/16/21, Love this product. I am , Love this product. I am regular everyday more energy. Blood sugars are stable. 
Devon S.,4.0 star rating,12/16/21," Great, But... "," I truly enjoyed this product. it tasted great, i feel good... but its too expensive overall. after shipping its almost $95 a month. i would come back if the price came down. i appreciate everything you do for quality. "
Dominic M.,5.0 star rating,12/16/21, Feedback , I use it to make a green machine shake every mirnibf 
Marsha G.,5.0 star rating,12/16/21, Athletic Greens make a difference! , Athletic Greens give me that extra energy boost to stay active & alert all day. Great addition to my routine! 
Brynn F.,5.0 star rating,12/16/21, Love my Athletic Greens ," I've been taking Athletic Greens for a little over a month now, and I can honestly say that I am loving how it makes me feel. When I drink it in the morning, it gives me energy that lasts the whole day. So much that I don't even feel the need to finish my second cup of coffee! I truly look forward to my bottle of Athletic Greens every day. "
Richardson K.,5.0 star rating,12/16/21, Best greens I’ve tried. , Athletic Greens are amazing and have been a great addition to my daily routine. 
Gabriel T.,5.0 star rating,12/16/21, Using AG for years ," I use AG to keep my body healthy and balanced. I do notice a positive difference in my body and my health while taking this daily. It became obvious when I was away for a few days and did not bring AG. When I came back, and started AG again, my body felt better. "
Jamie M.,3.0 star rating,12/16/21, Healthy , It tastes pretty good. It doesn’t mix that well and is gritty when you get to the bottom I guess all drinks like this are but this is the most expensive one out there. 
CLARK H.,5.0 star rating,12/16/21, $$$$ , Love everything about this product except the high cost. 
Barb S.,5.0 star rating,12/16/21, Convenience. Traveling with AG made , Convenience. Traveling with AG made easy. 
Nancy M.,5.0 star rating,12/16/21, The best green I’ve ever ," The best green I’ve ever drank !! My whole body loves it.  More energy,, happy gut.  My neighbor introduced me to your product. "
Faraz K.,1.0 star rating,12/16/21, didn’t taste good at all , unfortunately it tastes horrible to me 
Ernesto G.,3.0 star rating,12/16/21, Daily health insurance ," Easy to consume and a good daily supplement to nutrition. I have to believe that it has the nutritional value as stated but I have not noticed any difference in energy level nor general health. Consequently, the cost has become difficult to justify. "
Babich J.,3.0 star rating,12/16/21, Love the idea but don’t notice a difference ," I was very hopeful to notice increased energy and gut health but unfortunately haven’t. I do enjoy the drink though, so it has that going for it! "
Aaron B.,3.0 star rating,12/16/21, Not bad ," The pouches are great until you start to reach the bottom. If you don’t have a new pouch, it’s going to be messy to get a full scoop including getting your hand all green! "
Warren N.,4.0 star rating,12/16/21, Great! ," It would be nice to receive a email reminder when an order is about to processed. I love the AG, although I still think its a tad overpriced "
Mindi B.,5.0 star rating,12/16/21, No more bloating!!! , No more bloating!!! 
Sean c.,5.0 star rating,12/16/21, Very good , Gives me more energy throughout the day 
Shannon B.,5.0 star rating,12/16/21, So happy I tried this! ," Multivitamins we’re not cutting it. I needed more. I’ve taken for a month now and have noticed improvements in digestion and major improvements in focus and energy! That 3:00pm no energy, dead head time is gone. So happy I tried this! "
Lauren P.,5.0 star rating,12/15/21, Love it ," I look forward to drinking this in the morning in cold water. It’s refreshing. Although, I personally do not mind green tasting powders— this one is very mild and reminds me of a pineapple. A long time green juicer, this makes me feel like I’m getting in the extra nutrients I am missing — and on crazy days where I miss getting in that celery juice...Read MoreRead more about review stating Love it— I’m okay with that because I’ve had my AGs. Read LessRead less about review stating Love it"
Michael M.,4.0 star rating,12/15/21, I enjoyed this product ," Used for two months, I feel like it had a positive affect, a bit too expensive for me though. "
Jess J.,5.0 star rating,12/15/21, This stuff is amazing!!! , First supplement where I immediately feel an improvement in my physical body and energy level. I cannot recommend enough! 
Jay L.,5.0 star rating,12/15/21, Convenient for travel , Convenient for travel 
Sherri B.,5.0 star rating,12/15/21, AG1 Makes Me Feel Like A Rockstar! ," I've been using Athletic Greens for a few months now, (after hearing rave reviews about it) and I can't say enough about it. The taste and consistency is great (not grainy like most supplement drinks), packed with flavor but not too sweet, and gives me an even energy boost for the rest of the day. It's part of my daily routine. Well done Athletic ...Read MoreRead more about review stating AG1 Makes Me Feel Like A Rockstar!Greens, well done. Read LessRead less about review stating AG1 Makes Me Feel Like A Rockstar!"
Greg C.,2.0 star rating,12/15/21, Tasted like poor cool aid. , Tasted like poor cool aid. I didn’t notice any positive change in my health or how I felt. 
James R.,5.0 star rating,12/15/21, Way better than taking a pill version ," At first, I thought I would have a difficult time drinking it. However, it wasn't an issue since it tastes decent, and I know I'm doing something good and healthy for my body. "
Kristen s.,5.0 star rating,12/15/21, It's amazing ! , It's amazing ! 
Luis B.,5.0 star rating,12/15/21, Flawless service and great product ," Dependable all the way through, I’m hooked for life, if you stay the course! "
Jennifer P.,3.0 star rating,12/15/21, Great... but too pricey , Love the taste... I believe I can feel the difference... but over $90 per month for it is too much. 
Shane D.,3.0 star rating,12/15/21," Nice product, bad taste, WAY out of my price range "," I really like the fact that AG1 put almost everything I need into one product. About the only thing I can think of that it doesn’t have is Slippery Elm Bark for improving digestion. But other than that, it has most of the digestive enzymes, probiotics, fiber, and vitamins I need.  Unfortunately the positives end there.   The taste ...Read MoreRead more about review stating Nice product, bad taste, WAY out of my price rangeis not good. It tastes like wheatgrass or algae to me, and I struggle with it. I have to add fruit juice or cocoa powder to it so I can mask the flavor.   But the #1 reason I no longer use it is the price. I simply cannot budget $80 every month for a product like this, especially during these times.   I found a few other products that might not be as convenient, because I have to buy 2-3 different items to get everything that AG1 has, but even so, adding all of those together comes out to less than $40/mn, which is half what AG1 charges, and it tastes better.   I can’t justify that big of a difference just to have everything in one product. Read LessRead less about review stating Nice product, bad taste, WAY out of my price range"
Raoul I.,5.0 star rating,12/15/21, Awesome mix , First month has gone by now and feeling 10x better love this stuff have a repeat customer 
Tyler C.,5.0 star rating,12/15/21, I love this morning routine , I love this morning routine and it has made a difference in my gut health 
Karen D.,5.0 star rating,12/15/21, I have an increase in ," I have an increase in energy, which lasts the entire day! I also have a healthy appetite but so not have cravings as much as I used to, prior to taking Athletic Greens. "
NICK G.,4.0 star rating,12/15/21, Great way to get your , Great way to get your vitamins. Only reason I didn't give 5 stars is because the taste isn't that great. I will continue to order and keep it as a part of my wake up routine. 
Derek T.,4.0 star rating,12/15/21, Having more energy feeling nutritionally , Having more energy feeling nutritionally sound I look forward to mornings and work. Thanks Athletic Greens 
Sherry L.,5.0 star rating,12/15/21, High energy ," I’ve tried numerous green powders. This one surpasses all the ones I tried. It’s expensive however I was paying around $50 a month for my probiotics and no longer need them. I was taking a multi as well that ran around $32 a month and no longer need that either. For the first time ever I’m going to the bathroom every morning without taking Metamuc...Read MoreRead more about review stating High energyil or a softener, or colon cleanse. I’m very happy as is my boyfriend. More energy and my gut health is the best. Read LessRead less about review stating High energy"
Cilla,1.0 star rating,12/15/21, Think twice if you have taste buds ," The taste is horrible...I was expecting a green smoothie flavor (I like green smoothies), but instead it's got this artificial sweetness that's gag-worthy. Will not be having a second glass despite whatever health benefits it might offer! "
Don A.,4.0 star rating,12/15/21," Good, and expensive. ", I Really like this product. It’s convenient and it tastes good. Almost has a slight bubblegum taste but still has a greens after taste. Very easy to drink. I drink it every day first thing before I eat or drink coffee. Only negative thing I have to say is it’s pretty expensive in my opinion. $50 more bucks and it’s a nice motorcycle payment. 
Shawn S.,5.0 star rating,12/15/21, Shawn Samuel , AG1 is the best Thanks so much 
Andrew S.,3.0 star rating,12/15/21, Good product but overpriced , Product is good but is overpriced. 
Robert D.,5.0 star rating,12/15/21, Excellent product , Excellent product 
